seqname,source,feature,start,end,score,strand,frame,ID,Name,gbkey,gene,gene_biotype,locus_tag,old_locus_tag
NC_008463.1,RefSeq,gene,483,2027,.,+,.,gene-PA14_RS00005,dnaA,Gene,dnaA,protein_coding,PA14_RS00005,PA14_00010
NC_008463.1,RefSeq,gene,2056,3159,.,+,.,gene-PA14_RS00010,dnaN,Gene,dnaN,protein_coding,PA14_RS00010,PA14_00020
NC_008463.1,RefSeq,pseudogene,3169,4271,.,+,.,gene-PA14_RS00015,recF,Gene,recF,pseudogene,PA14_RS00015,PA14_00030
NC_008463.1,RefSeq,gene,4275,6695,.,+,.,gene-PA14_RS00020,gyrB,Gene,gyrB,protein_coding,PA14_RS00020,PA14_00050
NC_008463.1,RefSeq,gene,7018,7791,.,-,.,gene-PA14_RS00025,PA14_RS00025,Gene,NA,protein_coding,PA14_RS00025,PA14_00060
NC_008463.1,RefSeq,gene,7803,8339,.,-,.,gene-PA14_RS00030,gmhB,Gene,gmhB,protein_coding,PA14_RS00030,PA14_00070
NC_008463.1,RefSeq,gene,8671,10377,.,+,.,gene-PA14_RS00035,PA14_RS00035,Gene,NA,protein_coding,PA14_RS00035,PA14_00080
NC_008463.1,RefSeq,gene,10434,12488,.,-,.,gene-PA14_RS00040,glyS,Gene,glyS,protein_coding,PA14_RS00040,PA14_00090
NC_008463.1,RefSeq,gene,12488,13435,.,-,.,gene-PA14_RS00045,glyQ,Gene,glyQ,protein_coding,PA14_RS00045,PA14_00100
NC_008463.1,RefSeq,gene,13540,14091,.,+,.,gene-PA14_RS00050,PA14_RS00050,Gene,NA,protein_coding,PA14_RS00050,PA14_00110
NC_008463.1,RefSeq,gene,14236,15123,.,+,.,gene-PA14_RS00055,PA14_RS00055,Gene,NA,protein_coding,PA14_RS00055,PA14_00120
NC_008463.1,RefSeq,gene,15208,15474,.,+,.,gene-PA14_RS00060,PA14_RS00060,Gene,NA,protein_coding,PA14_RS00060,PA14_00130
NC_008463.1,RefSeq,gene,15621,16274,.,+,.,gene-PA14_RS00065,PA14_RS00065,Gene,NA,protein_coding,PA14_RS00065,PA14_00140
NC_008463.1,RefSeq,gene,16336,16608,.,-,.,gene-PA14_RS00070,PA14_RS00070,Gene,NA,protein_coding,PA14_RS00070,PA14_00150
NC_008463.1,RefSeq,gene,16923,17240,.,-,.,gene-PA14_RS00075,PA14_RS00075,Gene,NA,protein_coding,PA14_RS00075,PA14_00160
NC_008463.1,RefSeq,gene,17389,18762,.,-,.,gene-PA14_RS00080,trkA,Gene,trkA,protein_coding,PA14_RS00080,PA14_00170
NC_008463.1,RefSeq,gene,18789,20093,.,-,.,gene-PA14_RS00085,rsmB,Gene,rsmB,protein_coding,PA14_RS00085,PA14_00180
NC_008463.1,RefSeq,gene,20090,21034,.,-,.,gene-PA14_RS00090,fmt,Gene,fmt,protein_coding,PA14_RS00090,PA14_00190
NC_008463.1,RefSeq,gene,21088,21594,.,-,.,gene-PA14_RS00095,def,Gene,def,protein_coding,PA14_RS00095,PA14_00200
NC_008463.1,RefSeq,gene,21733,22758,.,+,.,gene-PA14_RS00100,PA14_RS00100,Gene,NA,protein_coding,PA14_RS00100,PA14_00210
NC_008463.1,RefSeq,gene,22893,23981,.,+,.,gene-PA14_RS00105,dprA,Gene,dprA,protein_coding,PA14_RS00105,PA14_00230
NC_008463.1,RefSeq,gene,24022,24579,.,+,.,gene-PA14_RS00110,PA14_RS00110,Gene,NA,protein_coding,PA14_RS00110,PA14_00240
NC_008463.1,RefSeq,gene,24589,25566,.,-,.,gene-PA14_RS00115,PA14_RS00115,Gene,NA,protein_coding,PA14_RS00115,PA14_00250
NC_008463.1,RefSeq,gene,25757,26674,.,+,.,gene-PA14_RS00120,hemF,Gene,hemF,protein_coding,PA14_RS00120,PA14_00280
NC_008463.1,RefSeq,gene,26732,27556,.,+,.,gene-PA14_RS00125,aroE,Gene,aroE,protein_coding,PA14_RS00125,PA14_00290
NC_008463.1,RefSeq,gene,27667,28653,.,+,.,gene-PA14_RS00130,PA14_RS00130,Gene,NA,protein_coding,PA14_RS00130,PA14_00300
NC_008463.1,RefSeq,gene,28634,29920,.,+,.,gene-PA14_RS00135,PA14_RS00135,Gene,NA,protein_coding,PA14_RS00135,PA14_00310
NC_008463.1,RefSeq,gene,29917,30519,.,+,.,gene-PA14_RS00140,PA14_RS00140,Gene,NA,protein_coding,PA14_RS00140,PA14_00320
NC_008463.1,RefSeq,gene,30523,32076,.,-,.,gene-PA14_RS00145,PA14_RS00145,Gene,NA,protein_coding,PA14_RS00145,PA14_00340
NC_008463.1,RefSeq,gene,32081,33004,.,-,.,gene-PA14_RS00150,PA14_RS00150,Gene,NA,protein_coding,PA14_RS00150,PA14_00360
NC_008463.1,RefSeq,gene,33021,34532,.,-,.,gene-PA14_RS00155,betC,Gene,betC,protein_coding,PA14_RS00155,PA14_00380
NC_008463.1,RefSeq,gene,34645,35559,.,+,.,gene-PA14_RS00160,PA14_RS00160,Gene,NA,protein_coding,PA14_RS00160,PA14_00400
NC_008463.1,RefSeq,gene,35570,35947,.,+,.,gene-PA14_RS00165,PA14_RS00165,Gene,NA,protein_coding,PA14_RS00165,PA14_00410
NC_008463.1,RefSeq,gene,35926,36291,.,-,.,gene-PA14_RS00170,PA14_RS00170,Gene,NA,protein_coding,PA14_RS00170,PA14_00420
NC_008463.1,RefSeq,gene,36299,36922,.,-,.,gene-PA14_RS00175,PA14_RS00175,Gene,NA,protein_coding,PA14_RS00175,PA14_00430
NC_008463.1,RefSeq,gene,37108,37914,.,-,.,gene-PA14_RS00180,trpA,Gene,trpA,protein_coding,PA14_RS00180,PA14_00440
NC_008463.1,RefSeq,gene,37911,39119,.,-,.,gene-PA14_RS00185,trpB,Gene,trpB,protein_coding,PA14_RS00185,PA14_00450
NC_008463.1,RefSeq,gene,39223,40110,.,+,.,gene-PA14_RS00190,trpI,Gene,trpI,protein_coding,PA14_RS00190,PA14_00460
NC_008463.1,RefSeq,gene,40211,40426,.,+,.,gene-PA14_RS00195,PA14_RS00195,Gene,NA,protein_coding,PA14_RS00195,PA14_00470
NC_008463.1,RefSeq,gene,40610,40837,.,+,.,gene-PA14_RS00200,PA14_RS00200,Gene,NA,protein_coding,PA14_RS00200,PA14_00480
NC_008463.1,RefSeq,gene,41133,42821,.,+,.,gene-PA14_RS00205,tpsB2,Gene,tpsB2,protein_coding,PA14_RS00205,PA14_00490
NC_008463.1,RefSeq,gene,42934,53265,.,+,.,gene-PA14_RS00210,tpsA2,Gene,tpsA2,protein_coding,PA14_RS00210,PA14_00510
NC_008463.1,RefSeq,pseudogene,54533,54696,.,+,.,gene-PA14_RS31325,PA14_RS31325,Gene,NA,pseudogene,PA14_RS31325,PA14_00520
NC_008463.1,RefSeq,gene,54909,55304,.,+,.,gene-PA14_RS00220,PA14_RS00220,Gene,NA,protein_coding,PA14_RS00220,PA14_00530
NC_008463.1,RefSeq,gene,55575,56828,.,-,.,gene-PA14_RS00225,PA14_RS00225,Gene,NA,protein_coding,PA14_RS00225,PA14_00550
NC_008463.1,RefSeq,gene,57148,58476,.,+,.,gene-PA14_RS00230,exoT,Gene,exoT,protein_coding,PA14_RS00230,PA14_00560
NC_008463.1,RefSeq,gene,59018,59704,.,+,.,gene-PA14_RS00235,PA14_RS00235,Gene,NA,protein_coding,PA14_RS00235,PA14_00570
NC_008463.1,RefSeq,gene,59735,60088,.,+,.,gene-PA14_RS00240,PA14_RS00240,Gene,NA,protein_coding,PA14_RS00240,PA14_00580
NC_008463.1,RefSeq,gene,60085,60750,.,+,.,gene-PA14_RS00245,PA14_RS00245,Gene,NA,protein_coding,PA14_RS00245,PA14_00590
NC_008463.1,RefSeq,gene,60765,61148,.,-,.,gene-PA14_RS00250,PA14_RS00250,Gene,NA,protein_coding,PA14_RS00250,PA14_00600
NC_008463.1,RefSeq,gene,61430,63091,.,-,.,gene-PA14_RS00255,PA14_RS00255,Gene,NA,protein_coding,PA14_RS00255,PA14_00620
NC_008463.1,RefSeq,gene,63701,63841,.,+,.,gene-PA14_RS00260,PA14_RS00260,Gene,NA,protein_coding,PA14_RS00260,PA14_00630
NC_008463.1,RefSeq,gene,64665,66497,.,+,.,gene-PA14_RS00265,asnB,Gene,asnB,protein_coding,PA14_RS00265,PA14_00640
NC_008463.1,RefSeq,gene,66550,66978,.,-,.,gene-PA14_RS00270,PA14_RS00270,Gene,NA,protein_coding,PA14_RS00270,PA14_00650
NC_008463.1,RefSeq,gene,67187,67735,.,-,.,gene-PA14_RS00275,PA14_RS00275,Gene,NA,protein_coding,PA14_RS00275,PA14_00660
NC_008463.1,RefSeq,gene,67774,68280,.,-,.,gene-PA14_RS00280,PA14_RS00280,Gene,NA,protein_coding,PA14_RS00280,PA14_00670
NC_008463.1,RefSeq,gene,68346,69266,.,-,.,gene-PA14_RS00285,osaR,Gene,osaR,protein_coding,PA14_RS00285,PA14_00680
NC_008463.1,RefSeq,gene,69374,70261,.,+,.,gene-PA14_RS00290,PA14_RS00290,Gene,NA,protein_coding,PA14_RS00290,PA14_00690
NC_008463.1,RefSeq,gene,70324,71028,.,+,.,gene-PA14_RS00295,dsbM,Gene,dsbM,protein_coding,PA14_RS00295,PA14_00700
NC_008463.1,RefSeq,gene,71112,71567,.,+,.,gene-PA14_RS00300,PA14_RS00300,Gene,NA,protein_coding,PA14_RS00300,PA14_00710
NC_008463.1,RefSeq,gene,71678,71911,.,+,.,gene-PA14_RS00305,PA14_RS00305,Gene,NA,protein_coding,PA14_RS00305,PA14_00720
NC_008463.1,RefSeq,gene,71923,72360,.,-,.,gene-PA14_RS00310,PA14_RS00310,Gene,NA,protein_coding,PA14_RS00310,PA14_00730
NC_008463.1,RefSeq,gene,72417,72833,.,-,.,gene-PA14_RS00315,PA14_RS00315,Gene,NA,protein_coding,PA14_RS00315,PA14_00740
NC_008463.1,RefSeq,gene,72925,74052,.,+,.,gene-PA14_RS00320,PA14_RS00320,Gene,NA,protein_coding,PA14_RS00320,PA14_00750
NC_008463.1,RefSeq,gene,74060,75043,.,-,.,gene-PA14_RS00325,PA14_RS00325,Gene,NA,protein_coding,PA14_RS00325,PA14_00760
NC_008463.1,RefSeq,gene,75076,75741,.,-,.,gene-PA14_RS00330,PA14_RS00330,Gene,NA,protein_coding,PA14_RS00330,PA14_00770
NC_008463.1,RefSeq,gene,75734,76276,.,-,.,gene-PA14_RS00335,PA14_RS00335,Gene,NA,protein_coding,PA14_RS00335,PA14_00780
NC_008463.1,RefSeq,gene,76354,78399,.,+,.,gene-PA14_RS00340,prlC,Gene,prlC,protein_coding,PA14_RS00340,PA14_00790
NC_008463.1,RefSeq,gene,78396,78671,.,+,.,gene-PA14_RS00345,PA14_RS00345,Gene,NA,protein_coding,PA14_RS00345,PA14_00800
NC_008463.1,RefSeq,gene,78760,79818,.,+,.,gene-PA14_RS00350,PA14_RS00350,Gene,NA,protein_coding,PA14_RS00350,PA14_00810
NC_008463.1,RefSeq,gene,80049,80963,.,-,.,gene-PA14_RS00355,tagQ,Gene,tagQ,protein_coding,PA14_RS00355,PA14_00820
NC_008463.1,RefSeq,gene,81025,82737,.,-,.,gene-PA14_RS00360,tagR,Gene,tagR,protein_coding,PA14_RS00360,PA14_00830
NC_008463.1,RefSeq,gene,82730,83929,.,-,.,gene-PA14_RS00365,tagS,Gene,tagS,protein_coding,PA14_RS00365,PA14_00850
NC_008463.1,RefSeq,gene,83929,84648,.,-,.,gene-PA14_RS00370,tagT,Gene,tagT,protein_coding,PA14_RS00370,PA14_00860
NC_008463.1,RefSeq,gene,84645,87743,.,-,.,gene-PA14_RS00375,ppkA,Gene,ppkA,protein_coding,PA14_RS00375,PA14_00875
NC_008463.1,RefSeq,gene,87751,88479,.,-,.,gene-PA14_RS00380,pppA,Gene,pppA,protein_coding,PA14_RS00380,PA14_00890
NC_008463.1,RefSeq,gene,88489,89169,.,-,.,gene-PA14_RS00385,tagF,Gene,tagF,protein_coding,PA14_RS00385,PA14_00900
NC_008463.1,RefSeq,gene,89166,92699,.,-,.,gene-PA14_RS00390,tssM,Gene,tssM,protein_coding,PA14_RS00390,PA14_00910
NC_008463.1,RefSeq,gene,92696,94045,.,-,.,gene-PA14_RS00395,PA14_RS00395,Gene,NA,protein_coding,PA14_RS00395,PA14_00925
NC_008463.1,RefSeq,gene,94052,95386,.,-,.,gene-PA14_RS00400,tssK,Gene,tssK,protein_coding,PA14_RS00400,PA14_00940
NC_008463.1,RefSeq,gene,95402,95866,.,-,.,gene-PA14_RS00405,tssJ,Gene,tssJ,protein_coding,PA14_RS00405,PA14_00960
NC_008463.1,RefSeq,pseudogene,95911,96633,.,-,.,gene-PA14_RS31510,tagH,Gene,tagH,pseudogene,PA14_RS31510,PA14_00970
NC_008463.1,RefSeq,pseudogene,96516,97424,.,-,.,gene-PA14_RS31515,tagH,Gene,tagH,pseudogene,PA14_RS31515,PA14_00980
NC_008463.1,RefSeq,gene,97777,98811,.,+,.,gene-PA14_RS00415,tssA,Gene,tssA,protein_coding,PA14_RS00415,PA14_00990
NC_008463.1,RefSeq,gene,98900,99418,.,+,.,gene-PA14_RS00420,tssB,Gene,tssB,protein_coding,PA14_RS00420,PA14_01010
NC_008463.1,RefSeq,gene,99431,100927,.,+,.,gene-PA14_RS00425,tssC,Gene,tssC,protein_coding,PA14_RS00425,PA14_01020
NC_008463.1,RefSeq,gene,101003,101491,.,+,.,gene-PA14_RS00430,hcp,Gene,hcp,protein_coding,PA14_RS00430,PA14_01030
NC_008463.1,RefSeq,gene,101659,102504,.,+,.,gene-PA14_RS00435,tagJ,Gene,tagJ,protein_coding,PA14_RS00435,PA14_01040
NC_008463.1,RefSeq,gene,102506,103015,.,+,.,gene-PA14_RS00440,tssE,Gene,tssE,protein_coding,PA14_RS00440,PA14_01060
NC_008463.1,RefSeq,gene,103012,104871,.,+,.,gene-PA14_RS00445,tssF,Gene,tssF,protein_coding,PA14_RS00445,PA14_01070
NC_008463.1,RefSeq,gene,104835,105881,.,+,.,gene-PA14_RS00450,tssG,Gene,tssG,protein_coding,PA14_RS00450,PA14_01080
NC_008463.1,RefSeq,gene,105874,108582,.,+,.,gene-PA14_RS00455,tssH,Gene,tssH,protein_coding,PA14_RS00455,PA14_01100
NC_008463.1,RefSeq,gene,108629,110560,.,+,.,gene-PA14_RS00460,vgrG1a,Gene,vgrG1a,protein_coding,PA14_RS00460,PA14_01110
NC_008463.1,RefSeq,gene,110675,110959,.,-,.,gene-PA14_RS00465,PA14_RS00465,Gene,NA,protein_coding,PA14_RS00465,PA14_01120
NC_008463.1,RefSeq,gene,110972,111205,.,-,.,gene-PA14_RS00470,tis1,Gene,tis1,protein_coding,PA14_RS00470,PA14_01130
NC_008463.1,RefSeq,gene,111195,112577,.,-,.,gene-PA14_RS00475,tas1,Gene,tas1,protein_coding,PA14_RS00475,PA14_01140
NC_008463.1,RefSeq,gene,112593,113027,.,-,.,gene-PA14_RS00480,eagT6,Gene,eagT6,protein_coding,PA14_RS00480,PA14_01150
NC_008463.1,RefSeq,gene,113281,115506,.,+,.,gene-PA14_RS00485,vgrG1b,Gene,vgrG1b,protein_coding,PA14_RS00485,PA14_01160
NC_008463.1,RefSeq,gene,115534,115983,.,+,.,gene-PA14_RS00490,PA14_RS00490,Gene,NA,protein_coding,PA14_RS00490,PA14_01170
NC_008463.1,RefSeq,gene,116000,117112,.,+,.,gene-PA14_RS00495,PA14_RS00495,Gene,NA,protein_coding,PA14_RS00495,PA14_01180
NC_008463.1,RefSeq,gene,117109,118146,.,+,.,gene-PA14_RS00500,PA14_RS00500,Gene,NA,protein_coding,PA14_RS00500,PA14_01190
NC_008463.1,RefSeq,gene,118146,119237,.,+,.,gene-PA14_RS00505,PA14_RS00505,Gene,NA,protein_coding,PA14_RS00505,PA14_01200
NC_008463.1,RefSeq,gene,119248,120168,.,+,.,gene-PA14_RS00510,PA14_RS00510,Gene,NA,protein_coding,PA14_RS00510,PA14_01220
NC_008463.1,RefSeq,gene,120178,121410,.,+,.,gene-PA14_RS00515,PA14_RS00515,Gene,NA,protein_coding,PA14_RS00515,PA14_01230
NC_008463.1,RefSeq,gene,121786,122514,.,+,.,gene-PA14_RS00520,PA14_RS00520,Gene,NA,protein_coding,PA14_RS00520,PA14_01240
NC_008463.1,RefSeq,gene,122725,124296,.,+,.,gene-PA14_RS00525,PA14_RS00525,Gene,NA,protein_coding,PA14_RS00525,PA14_01250
NC_008463.1,RefSeq,gene,125293,126417,.,+,.,gene-PA14_RS00535,coxB,Gene,coxB,protein_coding,PA14_RS00535,PA14_01290
NC_008463.1,RefSeq,gene,126427,128019,.,+,.,gene-PA14_RS00540,ctaD,Gene,ctaD,protein_coding,PA14_RS00540,PA14_01300
NC_008463.1,RefSeq,gene,128030,128584,.,+,.,gene-PA14_RS00545,PA14_RS00545,Gene,NA,protein_coding,PA14_RS00545,PA14_01310
NC_008463.1,RefSeq,gene,128595,129482,.,+,.,gene-PA14_RS00550,PA14_RS00550,Gene,NA,protein_coding,PA14_RS00550,PA14_01320
